X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1403655.9998648,489283.99997139,58,58,20231227-0232-00,17,Male,Black,Open,,Firearm,16200 LONG TALON WY,1403656,489284,35.077946,-80.993394,Steele Creek,76,2024/03/09 00:00:00+00,Other/Unknown,0,6,,2023,12,2023/12/27 00:00:00+00
1432385.00014947,568568.999865651,59,59,20231224-1045-01,40,Male,Black,Open,,Firearm,1600 FLAGLER LN,1432385,568569,35.297303,-80.902464,North,113,,Other/Unknown,2,2,,2023,12,2023/12/24 00:00:00+00
1404719.00003539,520899.000061482,60,60,20231223-1110-01,19,Female,Hispanic,Open,Intimate Partner,Knife,6400 HERMSLEY RD,1404719,520899,35.164856,-80.991962,Steele Creek,45,2023/12/23 00:00:00+00,Domestic,3,2,,2023,12,2023/12/23 00:00:00+00
1428831.00003964,534004.000098139,61,61,20231219-0149-03,,Male,Hispanic,Open,,Handgun,3900 W TYVOLA RD,1428831,534004,35.20216,-80.912142,Westover,159,,Other/Unknown,3,2,,2023,12,2023/12/19 00:00:00+00
1449365.99998005,555710.999991149,62,62,20231216-0907-00,,,,Open,,,1500 CATHERINE SIMMONS AV,1449366,555711,35.262861,-80.844762,Metro,374,,,2,3,,2023,12,2023/12/16 00:00:00+00
1476547.00007989,532139.99988915,63,63,20231215-2235-04,18,Male,Black,Open,,Handgun,5600 PACES GLEN AV,1476547,532140,35.199459,-80.752324,Independence,16,,Robbery,5,4,,2023,12,2023/12/15 00:00:00+00
1449209.99996397,494985.000052318,64,64,20231212-2116-01,36,Female,White,Exceptionally Cleared,,Handgun,4000 MEADOWRIDGE DR,1449210,494985,35.096025,-80.841511,South,177,2024/02/20 00:00:00+00,Argument,6,5,,2023,12,2023/12/12 00:00:00+00
1437282.99986789,542569.000028476,65,65,20231209-0208-00,52,Male,Black,Cleared by Arrest,,Firearm,2200 CAMP GREENE ST,1437283,542569,35.226134,-80.884398,Metro,124,2023/12/09 00:00:00+00,Argument,3,2,FREEDOM DRIVE/WILKINSON,2023,12,2023/12/09 00:00:00+00
1484255.0000838,531042.000116646,66,66,20231203-1934-01,,,,Open,,,7100 SNOW LN,1484255,531042,35.196814,-80.726462,Independence,58,,,5,4,,2023,12,2023/12/03 00:00:00+00
1427532.00001296,511862.000090897,67,67,20231120-0417-02,32,Male,Black,Cleared by Arrest,,Handgun,1500 W ARROWOOD RD,1427532,511862,35.141263,-80.91506,Steele Creek,93,2023/11/20 00:00:00+00,Argument,3,2,,2023,11,2023/11/20 00:00:00+00
1430104.0001183,539224.000156805,68,68,20231120-0013-04,21,Male,Black,Open,,Handgun,2600 MAYFAIR AV,1430104,539224,35.216568,-80.908217,Westover,321,,Other/Unknown,3,2,,2023,11,2023/11/20 00:00:00+00
1420909.00013563,510535.000120223,69,69,20231117-0926-02,41,Male,White,Open,,Unknown,8900 S TRYON ST,1420909,510535,35.137265,-80.937123,Steele Creek,95,,Other/Unknown,3,2,,2023,11,2023/11/17 00:00:00+00
1462294.00004263,530163.999904141,70,70,20231116-2351-02,25,Male,Black,Cleared by Arrest,,Handgun,800 VILLA CT,1462294,530164,35.19333,-80.799908,Providence,370,2023/12/19 00:00:00+00,Other/Unknown,1,4,,2023,11,2023/11/16 00:00:00+00
1464749.00005388,559971.000001311,71,71,20231113-1653-00,34,Female,Black,Cleared by Arrest,,Handgun,1100 W SUGAR CREEK RD,1464749,559971,35.275338,-80.793494,North Tryon,138,2023/12/11 00:00:00+00,Drugs,1,3,SUGAR CREEK/I-85,2023,11,2023/11/13 00:00:00+00
1455037.00012097,542055.000072226,72,72,20231112-0218-01,26,Male,Black,Open,,Handgun,800 SEIGLE AV,1455037,542055,35.225633,-80.824926,Eastway,200,2023/12/18 00:00:00+00,Argument,1,3,,2023,11,2023/11/12 00:00:00+00
1476094.99999964,522896.00000447,73,73,20231031-2209-02,22,Male,Black,Open,,Firearm,1000 EAGLEWOOD AV,1476095,522896,35.174042,-80.753291,Independence,245,2024/02/26 00:00:00+00,Other/Unknown,5,4,,2023,10,2023/10/31 00:00:00+00
1455901.00003339,573959.999910399,74,74,20231029-0301-00,19,Male,Black,Open,,Firearm,5000 ACORN FOREST LN,1455901,573960,35.313326,-80.823996,North,117,2024/01/05 00:00:00+00,Other/Unknown,2,3,,2023,10,2023/10/29 00:00:00+00
1446608.99991664,558776.000094727,75,75,20231024-2344-00,19,Male,Black,Cleared by Arrest,,Handgun,2600 BEATTIES FORD RD,1446609,558776,35.27114,-80.854188,Metro,374,2023/10/27 00:00:00+00,Gang,2,3,,2023,10,2023/10/24 00:00:00+00
1446608.99991664,558776.000094727,76,76,20231024-2344-00,27,Male,Black,Cleared by Arrest,,Handgun,2600 BEATTIES FORD RD,1446609,558776,35.27114,-80.854188,Metro,374,2023/10/27 00:00:00+00,Gang,2,3,,2023,10,2023/10/24 00:00:00+00
1479124.99984513,542865.000092641,77,77,20231019-1433-03,20,Male,Black,Cleared by Arrest,,Handgun,5200 N SHARON AMITY RD,1479125,542865,35.229048,-80.744327,Hickory Grove,167,2023/10/30 00:00:00+00,Argument,5,4,,2023,10,2023/10/19 00:00:00+00
1471059.99989906,542998.000154734,78,78,20231015-1324-00,54,Male,Black,Cleared by Arrest,,Handgun,3300 MAGNOLIA HILL DR,1471060,542998,35.229021,-80.771338,Eastway,389,2023/12/11 00:00:00+00,Argument,1,4,,2023,10,2023/10/15 00:00:00+00
1480763.99984796,527126.00007464,79,79,20231011-0455-00,34,Male,Black,Cleared by Arrest,,Handgun,6600 WENDA PL,1480764,527126,35.185888,-80.737917,Independence,202,2023/10/14 00:00:00+00,Robbery,5,4,,2023,10,2023/10/11 00:00:00+00
1489090.99992622,573526.000122234,80,80,20231010-2201-04,22,Male,Black,Cleared by Arrest,,Handgun,1900 PAVILION BV,1489091,573526,35.313758,-80.71273,University City,60,2023/10/11 00:00:00+00,Argument,4,3,,2023,10,2023/10/10 00:00:00+00
1440236.99986538,534472.000146389,81,81,20231007-2112-02,30,Male,Black,Cleared by Arrest,,"Handgun, Rifle",2900 BALTIMORE AV,1440237,534472,35.204043,-80.873996,Westover,30,2023/11/22 00:00:00+00,Other/Unknown,3,2,,2023,10,2023/10/07 00:00:00+00
1440970.0000398,497720.000159726,82,82,20231007-1738-00,21,Female,Black,Cleared by Arrest,Intimate Partner,Handgun,10500 PARK CROSSING DR,1440970,497720,35.103116,-80.869226,South,129,2023/10/17 00:00:00+00,Domestic,6,5,,2023,10,2023/10/07 00:00:00+00
1465230.00007613,580931.000075981,83,83,20231006-1731-01,19,Male,Black,Cleared by Arrest,,Handgun,3700 W W T HARRIS BV,1465230,580931,35.332943,-80.793151,University City,275,2023/10/06 00:00:00+00,Argument,4,3,,2023,10,2023/10/06 00:00:00+00
1482998.99997114,593995.999864563,84,84,20230924-2209-01,24,Male,Black,Exceptionally Cleared,,Handgun,13700 MALLARD CREEK RD,1482999,593996,35.369702,-80.734347,University City,195,2024/02/20 00:00:00+00,Argument,0,3,,2023,09,2023/09/24 00:00:00+00
1432319.99995139,537588.000147983,85,85,20230924-1757-00,18,Male,Black,Open,,Handgun,2500 EDDINGTON ST,1432320,537588,35.21219,-80.900694,Westover,120,,Robbery,3,2,,2023,09,2023/09/24 00:00:00+00
1427493.00009097,556576.999899566,86,86,20230921-0538-01,24,Male,Black,Open,,Handgun,100 PARK FAIRFAX DR,1427493,556577,35.264101,-80.91808,Freedom,346,,Gang,3,2,,2023,09,2023/09/21 00:00:00+00
1449563.99991214,545974.000108227,87,87,20230912-1508-02,56,Male,Black,Cleared by Arrest,,Handgun,700 W 9TH ST,1449564,545974,35.236121,-80.843493,Central,476,2023/09/14 00:00:00+00,Drugs,2,4,,2023,09,2023/09/12 00:00:00+00
1454431.00002064,552011.999843225,88,88,20230909-0634-00,46,Male,Black,Cleared by Arrest,,Firearm,900 MORETZ AV,1454431,552012,35.252956,-80.827569,Metro,363,2023/12/11 00:00:00+00,Argument,1,3,,2023,09,2023/09/09 00:00:00+00
1465926.99999447,560906.000099808,89,89,20230909-0117-01,24,Male,Hispanic,Open,,Handgun,2000 PROSPECT DR,1465927,560906,35.277965,-80.789604,North Tryon,291,,Argument,4,3,,2023,09,2023/09/09 00:00:00+00
1472810.00000797,561927.000026315,90,90,20230902-0554-00,64,Female,Black,Open,,Handgun,200 ORCHARD TRACE LN,1472810,561927,35.281109,-80.766606,North Tryon,103,2024/01/05 00:00:00+00,Robbery,4,3,,2023,09,2023/09/02 00:00:00+00
1438891.99993072,506872.999898314,91,91,20230824-2052-01,27,Male,Hispanic,Open,,Handgun,7600 SHARON LAKES RD,1438892,506873,35.128154,-80.876751,Steele Creek,12,,Other/Unknown,6,5,,2023,08,2023/08/24 00:00:00+00
1452288.00004156,490302.999901891,92,92,20230806-2209-02,33,Female,Black,Cleared by Arrest,,Vehicle,6600 PINEVILLE-MATTHEWS RD,1452288,490303,35.083319,-80.830934,South,201,2023/08/16 00:00:00+00,Other/Unknown,7,5,,2023,08,2023/08/06 00:00:00+00
1425646.99984597,513065.999979481,93,93,20230805-1923-02,17,Male,Hispanic,Cleared by Arrest,,Vehicle,2000 W ARROWOOD RD,1425647,513066,35.144471,-80.921442,Steele Creek,307,2023/10/26 00:00:00+00,Other/Unknown,3,2,,2023,08,2023/08/05 00:00:00+00
1474423.00006281,545284.999845818,94,94,20230805-1454-01,40,Male,Hispanic,Cleared by Arrest,,Handgun,3700 TIPPERARY PL,1474423,545285,35.235468,-80.760214,North Tryon,128,2023/08/09 00:00:00+00,Domestic,1,3,,2023,08,2023/08/05 00:00:00+00
1405579.99995381,569446.000080138,95,95,20230805-0109-01,63,Female,Black,Open,,Firearm,600 BELMEADE DR,1405580,569446,35.298268,-80.992342,Freedom,376,,Other/Unknown,0,2,,2023,08,2023/08/05 00:00:00+00
1495521.99985947,552576.000027567,96,96,20230727-0218-00,26,Male,Black,Cleared by Arrest,,Handgun,8400 HOOD RD,1495522,552576,35.256506,-80.68998,Hickory Grove,242,2023/07/28 00:00:00+00,Other/Unknown,5,4,,2023,07,2023/07/27 00:00:00+00
1476313.99988972,567054.999940887,97,97,20230723-1444-01,25,Male,Black,Cleared by Arrest,,Handgun,5700 UNIVERSITY POINTE BV,1476314,567055,35.295367,-80.755171,University City,331,2023/07/31 00:00:00+00,Drugs,4,3,,2023,07,2023/07/23 00:00:00+00
1435070.0000288,557686.999976143,98,98,20230718-0521-02,25,Female,Black,Cleared by Arrest,,Handgun,500 PORTER ST,1435070,557687,35.26755,-80.892772,Freedom,385,2023/07/18 00:00:00+00,Argument,2,2,,2023,07,2023/07/18 00:00:00+00
1476547.00007989,532139.99988915,99,99,20230717-2141-02,40,Male,Hispanic,Cleared by Arrest,,Firearm,5600 PACES GLEN AV,1476547,532140,35.199459,-80.752324,Independence,16,2023/07/24 00:00:00+00,Drugs,5,4,,2023,07,2023/07/17 00:00:00+00
1476623.99992588,568210.999925479,100,100,20230708-2024-02,35,Male,Black,Cleared by Arrest,,Handgun,8200 N TRYON ST,1476624,568211,35.298558,-80.7542,University City,219,2023/07/10 00:00:00+00,Argument,4,3,,2023,07,2023/07/08 00:00:00+00
1496769.99998814,577198.999994054,101,101,20230708-1845-01,17,Male,Black,Cleared by Arrest,,Firearm,2400 TURTLE POINT RD,1496770,577199,35.32421,-80.687202,University City,155,2023/07/13 00:00:00+00,Robbery,4,3,,2023,07,2023/07/08 00:00:00+00
1468978.00012605,552880.000075728,102,102,20230708-1659-00,19,Male,Black,Cleared by Arrest,,Handgun,300 EASTWAY DR,1468978,552880,35.256067,-80.778901,North Tryon,371,2023/07/17 00:00:00+00,Robbery,1,3,,2023,07,2023/07/08 00:00:00+00
